"Table__Title","matchTeams","AnchorLink","AnchorLink href","Image src","AnchorLink 2","AnchorLink href 3","AnchorLink href 4","Image src 2","AnchorLink 3","Table__TD","matchTeams 2","AnchorLink 5","AnchorLink href 7","Image src 3","AnchorLink 6","AnchorLink href 9","AnchorLink href 10","Image src 4","AnchorLink 7","AnchorLink href 11","AnchorLink 8","AnchorLink href 12","Table__TD 2","matchTeams 3","AnchorLink 9","AnchorLink href 13","Image src 5","AnchorLink 10","AnchorLink href 15","AnchorLink href 16","Image src 6","AnchorLink 11","AnchorLink href 17","AnchorLink 12","AnchorLink href 18","Table__TD 3"
"November, 2022","Wed, Nov 16","United Arab Emirates","https://www.espn.com/soccer/team/_/id/4397/united-arab-emirates","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/uae.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 5","https://www.espn.com/soccer/match/_/gameId/653772","https://www.espn.com/soccer/team/_/id/202/argentina","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/arg.png&w=40&h=40&scale=crop&cquality=40&location=origin","Argentina","International Friendly","","","","","","","","","","","","","","","","","","","","","","","","","",""
"September, 2022","Wed, Sep 28","Argentina","https://www.espn.com/soccer/team/_/id/202/argentina","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/arg.png&w=40&h=40&scale=crop&cquality=40&location=origin","3 - 0","https://www.espn.com/soccer/match/_/gameId/653253","https://www.espn.com/soccer/team/_/id/1038/jamaica","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/jam.png&w=40&h=40&scale=crop&cquality=40&location=origin","Jamaica","International Friendly","Sat, Sep 24","Argentina","https://www.espn.com/soccer/team/_/id/202/argentina","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/arg.png&w=40&h=40&scale=crop&cquality=40&location=origin","3 - 0","https://www.espn.com/soccer/match/_/gameId/652247","https://www.espn.com/soccer/team/_/id/215/honduras","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/hon.png&w=40&h=40&scale=crop&cquality=40&location=origin","Honduras","https://www.espn.com/soccer/team/_/id/215/honduras","FT","https://www.espn.com/soccer/match/_/gameId/652247","International Friendly","","","","","","","","","","","","",""
"June, 2022","Mon, Jun 6","Argentina","https://www.espn.com/soccer/team/_/id/202/argentina","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/arg.png&w=40&h=40&scale=crop&cquality=40&location=origin","5 - 0","https://www.espn.com/soccer/match/_/gameId/636177","https://www.espn.com/soccer/team/_/id/444/estonia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/est.png&w=40&h=40&scale=crop&cquality=40&location=origin","Estonia","International Friendly","Thu, Jun 2","Italy","https://www.espn.com/soccer/team/_/id/162/italy","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ita.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 3","https://www.espn.com/soccer/match/_/gameId/634540","https://www.espn.com/soccer/team/_/id/202/argentina","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/arg.png&w=40&h=40&scale=crop&cquality=40&location=origin","Argentina","https://www.espn.com/soccer/team/_/id/202/argentina","FT","https://www.espn.com/soccer/match/_/gameId/634540","CONMEBOL-UEFA Cup of Champions","","","","","","","","","","","","",""
"March, 2022","Wed, Mar 30","Ecuador","https://www.espn.com/soccer/team/_/id/209/ecuador","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ecu.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 1","https://www.espn.com/soccer/match/_/gameId/561009","https://www.espn.com/soccer/team/_/id/202/argentina","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/arg.png&w=40&h=40&scale=crop&cquality=40&location=origin","Argentina","FIFA World Cup Qualifying - CONMEBOL","Sat, Mar 26","Argentina","https://www.espn.com/soccer/team/_/id/202/argentina","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/arg.png&w=40&h=40&scale=crop&cquality=40&location=origin","3 - 0","https://www.espn.com/soccer/match/_/gameId/561018","https://www.espn.com/soccer/team/_/id/213/venezuela","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ven.png&w=40&h=40&scale=crop&cquality=40&location=origin","Venezuela","https://www.espn.com/soccer/team/_/id/213/venezuela","FT","https://www.espn.com/soccer/match/_/gameId/561018","FIFA World Cup Qualifying - CONMEBOL","","","","","","","","","","","","",""
"February, 2022","Wed, Feb 2","Argentina","https://www.espn.com/soccer/team/_/id/202/argentina","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/arg.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 0","https://www.espn.com/soccer/match/_/gameId/561020","https://www.espn.com/soccer/team/_/id/208/colombia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/col.png&w=40&h=40&scale=crop&cquality=40&location=origin","Colombia","FIFA World Cup Qualifying - CONMEBOL","","","","","","","","","","","","","","","","","","","","","","","","","",""
"January, 2022","Fri, Jan 28","Chile","https://www.espn.com/soccer/team/_/id/207/chile","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/chi.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 2","https://www.espn.com/soccer/match/_/gameId/561024","https://www.espn.com/soccer/team/_/id/202/argentina","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/arg.png&w=40&h=40&scale=crop&cquality=40&location=origin","Argentina","FIFA World Cup Qualifying - CONMEBOL","","","","","","","","","","","","","","","","","","","","","","","","","",""
"November, 2021","Wed, Nov 17","Argentina","https://www.espn.com/soccer/team/_/id/202/argentina","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/arg.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 0","https://www.espn.com/soccer/match/_/gameId/561029","https://www.espn.com/soccer/team/_/id/205/brazil","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/bra.png&w=40&h=40&scale=crop&cquality=40&location=origin","Brazil","FIFA World Cup Qualifying - CONMEBOL","Sat, Nov 13","Uruguay","https://www.espn.com/soccer/team/_/id/212/uruguay","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/uru.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 1","https://www.espn.com/soccer/match/_/gameId/561034","https://www.espn.com/soccer/team/_/id/202/argentina","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/arg.png&w=40&h=40&scale=crop&cquality=40&location=origin","Argentina","https://www.espn.com/soccer/team/_/id/202/argentina","FT","https://www.espn.com/soccer/match/_/gameId/561034","FIFA World Cup Qualifying - CONMEBOL","","","","","","","","","","","","",""
"October, 2021","Fri, Oct 15","Argentina","https://www.espn.com/soccer/team/_/id/202/argentina","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/arg.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 0","https://www.espn.com/soccer/match/_/gameId/561041","https://www.espn.com/soccer/team/_/id/211/peru","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/per.png&w=40&h=40&scale=crop&cquality=40&location=origin","Peru","FIFA World Cup Qualifying - CONMEBOL","Mon, Oct 11","Argentina","https://www.espn.com/soccer/team/_/id/202/argentina","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/arg.png&w=40&h=40&scale=crop&cquality=40&location=origin","3 - 0","https://www.espn.com/soccer/match/_/gameId/561078","https://www.espn.com/soccer/team/_/id/212/uruguay","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/uru.png&w=40&h=40&scale=crop&cquality=40&location=origin","Uruguay","https://www.espn.com/soccer/team/_/id/212/uruguay","FT","https://www.espn.com/soccer/match/_/gameId/561078","FIFA World Cup Qualifying - CONMEBOL","Fri, Oct 8","Paraguay","https://www.espn.com/soccer/team/_/id/210/paraguay","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/par.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 0","https://www.espn.com/soccer/match/_/gameId/561044","https://www.espn.com/soccer/team/_/id/202/argentina","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/arg.png&w=40&h=40&scale=crop&cquality=40&location=origin","Argentina","https://www.espn.com/soccer/team/_/id/202/argentina","FT","https://www.espn.com/soccer/match/_/gameId/561044","FIFA World Cup Qualifying - CONMEBOL"
"September, 2021","Fri, Sep 10","Argentina","https://www.espn.com/soccer/team/_/id/202/argentina","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/arg.png&w=40&h=40&scale=crop&cquality=40&location=origin","3 - 0","https://www.espn.com/soccer/match/_/gameId/561049","https://www.espn.com/soccer/team/_/id/204/bolivia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/bol.png&w=40&h=40&scale=crop&cquality=40&location=origin","Bolivia","FIFA World Cup Qualifying - CONMEBOL","Fri, Sep 3","Venezuela","https://www.espn.com/soccer/team/_/id/213/venezuela","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ven.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 3","https://www.espn.com/soccer/match/_/gameId/561054","https://www.espn.com/soccer/team/_/id/202/argentina","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/arg.png&w=40&h=40&scale=crop&cquality=40&location=origin","Argentina","https://www.espn.com/soccer/team/_/id/202/argentina","FT","https://www.espn.com/soccer/match/_/gameId/561054","FIFA World Cup Qualifying - CONMEBOL","","","","","","","","","","","","",""
"July, 2021","Sun, Jul 11","Argentina","https://www.espn.com/soccer/team/_/id/202/argentina","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/arg.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 0","https://www.espn.com/soccer/match/_/gameId/603182","https://www.espn.com/soccer/team/_/id/205/brazil","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/bra.png&w=40&h=40&scale=crop&cquality=40&location=origin","Brazil","Copa América","Wed, Jul 7","Argentina","https://www.espn.com/soccer/team/_/id/202/argentina","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/arg.png&w=40&h=40&scale=crop&cquality=40&location=origin","3 - 0","https://www.espn.com/soccer/match/_/gameId/603186","https://www.espn.com/soccer/team/_/id/209/ecuador","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ecu.png&w=40&h=40&scale=crop&cquality=40&location=origin","Colombia","https://www.espn.com/soccer/team/_/id/208/colombia","FT-Pens","https://www.espn.com/soccer/match/_/gameId/603184","Copa América","Sun, Jul 4","Argentina","https://www.espn.com/soccer/team/_/id/202/argentina","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/arg.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 1","https://www.espn.com/soccer/match/_/gameId/603184","https://www.espn.com/soccer/team/_/id/208/colombia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/col.png&w=40&h=40&scale=crop&cquality=40&location=origin","Ecuador","https://www.espn.com/soccer/team/_/id/209/ecuador","FT","https://www.espn.com/soccer/match/_/gameId/603186","Copa América"
"June, 2021","Tue, Jun 29","Bolivia","https://www.espn.com/soccer/team/_/id/204/bolivia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/bol.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 4","https://www.espn.com/soccer/match/_/gameId/560500","https://www.espn.com/soccer/team/_/id/202/argentina","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/arg.png&w=40&h=40&scale=crop&cquality=40&location=origin","Argentina","Copa América","Tue, Jun 22","Argentina","https://www.espn.com/soccer/team/_/id/202/argentina","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/arg.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 0","https://www.espn.com/soccer/match/_/gameId/560514","https://www.espn.com/soccer/team/_/id/210/paraguay","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/par.png&w=40&h=40&scale=crop&cquality=40&location=origin","Paraguay","https://www.espn.com/soccer/team/_/id/210/paraguay","FT","https://www.espn.com/soccer/match/_/gameId/560514","Copa América","Sat, Jun 19","Argentina","https://www.espn.com/soccer/team/_/id/202/argentina","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/arg.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 0","https://www.espn.com/soccer/match/_/gameId/560520","https://www.espn.com/soccer/team/_/id/212/uruguay","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/uru.png&w=40&h=40&scale=crop&cquality=40&location=origin","Uruguay","https://www.espn.com/soccer/team/_/id/212/uruguay","FT","https://www.espn.com/soccer/match/_/gameId/560520","Copa América"