"Table__Title","matchTeams","AnchorLink","AnchorLink href","AnchorLink href 2","Image src","AnchorLink 2","AnchorLink href 3","AnchorLink href 4","Image src 2","AnchorLink 3","AnchorLink href 5","AnchorLink 4","AnchorLink href 6","Table__TD","matchTeams 2","AnchorLink 5","AnchorLink href 7","AnchorLink href 8","Image src 3","AnchorLink 6","AnchorLink href 9","AnchorLink href 10","Image src 4","AnchorLink 7","AnchorLink href 11","AnchorLink 8","AnchorLink href 12","Table__TD 2"
"September, 2022","Sun, Sep 25","New Zealand","https://www.espn.com/soccer/team/_/id/2666/new-zealand","https://www.espn.com/soccer/team/_/id/2666/new-zealand","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/nzl.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 2","https://www.espn.com/soccer/match/_/gameId/641089","https://www.espn.com/soccer/team/_/id/628/australia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/aus.png&w=40&h=40&scale=crop&cquality=40&location=origin","Australia","https://www.espn.com/soccer/team/_/id/628/australia","FT","https://www.espn.com/soccer/match/_/gameId/641089","International Friendly","Thu, Sep 22","Australia","https://www.espn.com/soccer/team/_/id/628/australia","https://www.espn.com/soccer/team/_/id/628/australia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/aus.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 0","https://www.espn.com/soccer/match/_/gameId/646556","https://www.espn.com/soccer/team/_/id/2666/new-zealand","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/nzl.png&w=40&h=40&scale=crop&cquality=40&location=origin","New Zealand","https://www.espn.com/soccer/team/_/id/2666/new-zealand","FT","https://www.espn.com/soccer/match/_/gameId/646556","International Friendly"
"June, 2022","Tue, Jun 14","Australia","https://www.espn.com/soccer/team/_/id/628/australia","https://www.espn.com/soccer/team/_/id/4397/united-arab-emirates","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/uae.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 2","https://www.espn.com/soccer/match/_/gameId/633771","https://www.espn.com/soccer/team/_/id/628/australia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/aus.png&w=40&h=40&scale=crop&cquality=40&location=origin","Peru","https://www.espn.com/soccer/team/_/id/211/peru","FT-Pens","https://www.espn.com/soccer/match/_/gameId/633780","FIFA World Cup Qualifying - AFC/CONMEBOL Playoff","Wed, Jun 8","United Arab Emirates","https://www.espn.com/soccer/team/_/id/4397/united-arab-emirates","https://www.espn.com/soccer/team/_/id/628/australia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/aus.png&w=40&h=40&scale=crop&cquality=40&location=origin","2 - 1","https://www.espn.com/soccer/match/_/gameId/635001","https://www.espn.com/soccer/team/_/id/2917/jordan","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/jor.png&w=40&h=40&scale=crop&cquality=40&location=origin","Australia","https://www.espn.com/soccer/team/_/id/628/australia","FT","https://www.espn.com/soccer/match/_/gameId/633771","FIFA World Cup Qualifying - AFC"
"March, 2022","Wed, Mar 30","Saudi Arabia","https://www.espn.com/soccer/team/_/id/655/saudi-arabia","https://www.espn.com/soccer/team/_/id/655/saudi-arabia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ksa.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 0","https://www.espn.com/soccer/match/_/gameId/611246","https://www.espn.com/soccer/team/_/id/628/australia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/aus.png&w=40&h=40&scale=crop&cquality=40&location=origin","Australia","https://www.espn.com/soccer/team/_/id/628/australia","FT","https://www.espn.com/soccer/match/_/gameId/611246","FIFA World Cup Qualifying - AFC","Thu, Mar 24","Australia","https://www.espn.com/soccer/team/_/id/628/australia","https://www.espn.com/soccer/team/_/id/628/australia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/aus.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 2","https://www.espn.com/soccer/match/_/gameId/611253","https://www.espn.com/soccer/team/_/id/627/japan","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/jpn.png&w=40&h=40&scale=crop&cquality=40&location=origin","Japan","https://www.espn.com/soccer/team/_/id/627/japan","FT","https://www.espn.com/soccer/match/_/gameId/611253","FIFA World Cup Qualifying - AFC"
"February, 2022","Wed, Feb 2","Oman","https://www.espn.com/soccer/team/_/id/2841/oman","https://www.espn.com/soccer/team/_/id/2841/oman","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/oma.png&w=40&h=40&scale=crop&cquality=40&location=origin","2 - 2","https://www.espn.com/soccer/match/_/gameId/611258","https://www.espn.com/soccer/team/_/id/628/australia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/aus.png&w=40&h=40&scale=crop&cquality=40&location=origin","Australia","https://www.espn.com/soccer/team/_/id/628/australia","FT","https://www.espn.com/soccer/match/_/gameId/611258","FIFA World Cup Qualifying - AFC","","","","","","","","","","","","","",""
"January, 2022","Thu, Jan 27","Australia","https://www.espn.com/soccer/team/_/id/628/australia","https://www.espn.com/soccer/team/_/id/628/australia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/aus.png&w=40&h=40&scale=crop&cquality=40&location=origin","4 - 0","https://www.espn.com/soccer/match/_/gameId/611269","https://www.espn.com/soccer/team/_/id/7349/vietnam","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/vie.png&w=40&h=40&scale=crop&cquality=40&location=origin","Vietnam","https://www.espn.com/soccer/team/_/id/7349/vietnam","FT","https://www.espn.com/soccer/match/_/gameId/611269","FIFA World Cup Qualifying - AFC","","","","","","","","","","","","","",""
"November, 2021","Tue, Nov 16","China","https://www.espn.com/soccer/team/_/id/658/china","https://www.espn.com/soccer/team/_/id/658/china","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/chn.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 1","https://www.espn.com/soccer/match/_/gameId/611270","https://www.espn.com/soccer/team/_/id/628/australia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/aus.png&w=40&h=40&scale=crop&cquality=40&location=origin","Australia","https://www.espn.com/soccer/team/_/id/628/australia","FT","https://www.espn.com/soccer/match/_/gameId/611270","FIFA World Cup Qualifying - AFC","Thu, Nov 11","Australia","https://www.espn.com/soccer/team/_/id/628/australia","https://www.espn.com/soccer/team/_/id/628/australia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/aus.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 0","https://www.espn.com/soccer/match/_/gameId/611279","https://www.espn.com/soccer/team/_/id/655/saudi-arabia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ksa.png&w=40&h=40&scale=crop&cquality=40&location=origin","Saudi Arabia","https://www.espn.com/soccer/team/_/id/655/saudi-arabia","FT","https://www.espn.com/soccer/match/_/gameId/611279","FIFA World Cup Qualifying - AFC"
"October, 2021","Tue, Oct 12","Japan","https://www.espn.com/soccer/team/_/id/627/japan","https://www.espn.com/soccer/team/_/id/627/japan","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/jpn.png&w=40&h=40&scale=crop&cquality=40&location=origin","2 - 1","https://www.espn.com/soccer/match/_/gameId/611282","https://www.espn.com/soccer/team/_/id/628/australia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/aus.png&w=40&h=40&scale=crop&cquality=40&location=origin","Australia","https://www.espn.com/soccer/team/_/id/628/australia","FT","https://www.espn.com/soccer/match/_/gameId/611282","FIFA World Cup Qualifying - AFC","Fri, Oct 8","Australia","https://www.espn.com/soccer/team/_/id/628/australia","https://www.espn.com/soccer/team/_/id/628/australia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/aus.png&w=40&h=40&scale=crop&cquality=40&location=origin","3 - 1","https://www.espn.com/soccer/match/_/gameId/611291","https://www.espn.com/soccer/team/_/id/2841/oman","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/oma.png&w=40&h=40&scale=crop&cquality=40&location=origin","Oman","https://www.espn.com/soccer/team/_/id/2841/oman","FT","https://www.espn.com/soccer/match/_/gameId/611291","FIFA World Cup Qualifying - AFC"
"September, 2021","Tue, Sep 7","Vietnam","https://www.espn.com/soccer/team/_/id/7349/vietnam","https://www.espn.com/soccer/team/_/id/7349/vietnam","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/vie.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 1","https://www.espn.com/soccer/match/_/gameId/611294","https://www.espn.com/soccer/team/_/id/628/australia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/aus.png&w=40&h=40&scale=crop&cquality=40&location=origin","Australia","https://www.espn.com/soccer/team/_/id/628/australia","FT","https://www.espn.com/soccer/match/_/gameId/611294","FIFA World Cup Qualifying - AFC","Fri, Sep 3","Australia","https://www.espn.com/soccer/team/_/id/628/australia","https://www.espn.com/soccer/team/_/id/628/australia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/aus.png&w=40&h=40&scale=crop&cquality=40&location=origin","3 - 0","https://www.espn.com/soccer/match/_/gameId/611300","https://www.espn.com/soccer/team/_/id/658/china","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/chn.png&w=40&h=40&scale=crop&cquality=40&location=origin","China","https://www.espn.com/soccer/team/_/id/658/china","FT","https://www.espn.com/soccer/match/_/gameId/611300","FIFA World Cup Qualifying - AFC"
"June, 2021","Wed, Jun 16","Australia","https://www.espn.com/soccer/team/_/id/628/australia","https://www.espn.com/soccer/team/_/id/628/australia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/aus.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 0","https://www.espn.com/soccer/match/_/gameId/553273","https://www.espn.com/soccer/team/_/id/2917/jordan","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/jor.png&w=40&h=40&scale=crop&cquality=40&location=origin","Jordan","https://www.espn.com/soccer/team/_/id/2917/jordan","FT","https://www.espn.com/soccer/match/_/gameId/553273","FIFA World Cup Qualifying - AFC","Sat, Jun 12","Nepal","https://www.espn.com/soccer/team/_/id/5785/nepal","https://www.espn.com/soccer/team/_/id/5785/nepal","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/nep.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 3","https://www.espn.com/soccer/match/_/gameId/553302","https://www.espn.com/soccer/team/_/id/628/australia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/aus.png&w=40&h=40&scale=crop&cquality=40&location=origin","Australia","https://www.espn.com/soccer/team/_/id/628/australia","FT","https://www.espn.com/soccer/match/_/gameId/553302","FIFA World Cup Qualifying - AFC"
"November, 2019","Fri, Nov 15","Jordan","https://www.espn.com/soccer/team/_/id/2917/jordan","https://www.espn.com/soccer/team/_/id/2917/jordan","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/jor.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 1","https://www.espn.com/soccer/match/_/gameId/553190","https://www.espn.com/soccer/team/_/id/628/australia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/aus.png&w=40&h=40&scale=crop&cquality=40&location=origin","Australia","https://www.espn.com/soccer/team/_/id/628/australia","FT","https://www.espn.com/soccer/match/_/gameId/553190","FIFA World Cup Qualifying - AFC","","","","","","","","","","","","","",""
"October, 2019","Tue, Oct 15","Chinese Taipei","https://www.espn.com/soccer/team/_/id/14561/chinese-taipei","https://www.espn.com/soccer/team/_/id/14561/chinese-taipei","https://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/14561.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 7","https://www.espn.com/soccer/match/_/gameId/553206","https://www.espn.com/soccer/team/_/id/628/australia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/aus.png&w=40&h=40&scale=crop&cquality=40&location=origin","Australia","https://www.espn.com/soccer/team/_/id/628/australia","FT","https://www.espn.com/soccer/match/_/gameId/553206","FIFA World Cup Qualifying - AFC","Thu, Oct 10","Australia","https://www.espn.com/soccer/team/_/id/628/australia","https://www.espn.com/soccer/team/_/id/628/australia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/aus.png&w=40&h=40&scale=crop&cquality=40&location=origin","5 - 0","https://www.espn.com/soccer/match/_/gameId/553232","https://www.espn.com/soccer/team/_/id/5785/nepal","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/nep.png&w=40&h=40&scale=crop&cquality=40&location=origin","Nepal","https://www.espn.com/soccer/team/_/id/5785/nepal","FT","https://www.espn.com/soccer/match/_/gameId/553232","FIFA World Cup Qualifying - AFC"
"September, 2019","Tue, Sep 10","Kuwait","https://www.espn.com/soccer/team/_/id/841/kuwait","https://www.espn.com/soccer/team/_/id/841/kuwait","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/kuw.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 3","https://www.espn.com/soccer/match/_/gameId/553238","https://www.espn.com/soccer/team/_/id/628/australia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/aus.png&w=40&h=40&scale=crop&cquality=40&location=origin","Australia","https://www.espn.com/soccer/team/_/id/628/australia","FT","https://www.espn.com/soccer/match/_/gameId/553238","FIFA World Cup Qualifying - AFC","","","","","","","","","","","","","",""
"June, 2019","Fri, Jun 7","South Korea","https://www.espn.com/soccer/team/_/id/451/south-korea","https://www.espn.com/soccer/team/_/id/451/south-korea","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/kors.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 0","https://www.espn.com/soccer/match/_/gameId/539545","https://www.espn.com/soccer/team/_/id/628/australia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/aus.png&w=40&h=40&scale=crop&cquality=40&location=origin","Australia","https://www.espn.com/soccer/team/_/id/628/australia","FT","https://www.espn.com/soccer/match/_/gameId/539545","International Friendly","","","","","","","","","","","","","",""
"January, 2019","Sat, Jan 26","United Arab Emirates","https://www.espn.com/soccer/team/_/id/4397/united-arab-emirates","https://www.espn.com/soccer/team/_/id/4397/united-arab-emirates","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/uae.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 0","https://www.espn.com/soccer/match/_/gameId/535315","https://www.espn.com/soccer/team/_/id/628/australia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/aus.png&w=40&h=40&scale=crop&cquality=40&location=origin","Australia","https://www.espn.com/soccer/team/_/id/628/australia","FT","https://www.espn.com/soccer/match/_/gameId/535315","AFC Asian Cup","","","","","","","","","","","","","",""