"Table__Title","matchTeams","AnchorLink","AnchorLink href","AnchorLink href 2","Image src","AnchorLink 2","AnchorLink href 3","AnchorLink href 4","Image src 2","AnchorLink 3","AnchorLink href 5","AnchorLink 4","AnchorLink href 6","Table__TD","matchTeams 2","AnchorLink 5","AnchorLink href 7","AnchorLink href 8","Image src 3","AnchorLink 6","AnchorLink href 9","AnchorLink href 10","Image src 4","AnchorLink 7","AnchorLink href 11","AnchorLink 8","AnchorLink href 12","Table__TD 2","matchTeams 3","AnchorLink 9","AnchorLink href 13","AnchorLink href 14","Image src 5","AnchorLink 10","AnchorLink href 15","AnchorLink href 16","Image src 6","AnchorLink 11","AnchorLink 12","AnchorLink href 18","Table__TD 3"
"November, 2022","Thu, Nov 17","Ghana","https://www.espn.com/soccer/team/_/id/4469/ghana","https://www.espn.com/soccer/team/_/id/4469/ghana","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/gha.png&w=40&h=40&scale=crop&cquality=40&location=origin","2 - 0","https://www.espn.com/soccer/match/_/gameId/650693","https://www.espn.com/soccer/team/_/id/475/switzerland","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/sui.png&w=40&h=40&scale=crop&cquality=40&location=origin","Switzerland","https://www.espn.com/soccer/team/_/id/475/switzerland","FT","https://www.espn.com/soccer/match/_/gameId/650693","International Friendly","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"September, 2022","Wed, Sep 28","Switzerland","https://www.espn.com/soccer/team/_/id/475/switzerland","https://www.espn.com/soccer/team/_/id/475/switzerland","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/sui.png&w=40&h=40&scale=crop&cquality=40&location=origin","2 - 1","https://www.espn.com/soccer/match/_/gameId/624004","https://www.espn.com/soccer/team/_/id/450/czech-republic","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/cze.png&w=40&h=40&scale=crop&cquality=40&location=origin","Czech Republic","https://www.espn.com/soccer/team/_/id/450/czech-republic","FT","https://www.espn.com/soccer/match/_/gameId/624004","UEFA Nations League","Sun, Sep 25","Spain","https://www.espn.com/soccer/team/_/id/164/spain","https://www.espn.com/soccer/team/_/id/164/spain","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/esp.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 2","https://www.espn.com/soccer/match/_/gameId/624035","https://www.espn.com/soccer/team/_/id/475/switzerland","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/sui.png&w=40&h=40&scale=crop&cquality=40&location=origin","Switzerland","https://www.espn.com/soccer/team/_/id/475/switzerland","FT","https://www.espn.com/soccer/match/_/gameId/624035","UEFA Nations League","","","","","","","","","","","","",""
"June, 2022","Mon, Jun 13","Switzerland","https://www.espn.com/soccer/team/_/id/475/switzerland","https://www.espn.com/soccer/team/_/id/475/switzerland","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/sui.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 0","https://www.espn.com/soccer/match/_/gameId/624077","https://www.espn.com/soccer/team/_/id/482/portugal","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/por.png&w=40&h=40&scale=crop&cquality=40&location=origin","Portugal","https://www.espn.com/soccer/team/_/id/482/portugal","FT","https://www.espn.com/soccer/match/_/gameId/624077","UEFA Nations League","Fri, Jun 10","Switzerland","https://www.espn.com/soccer/team/_/id/475/switzerland","https://www.espn.com/soccer/team/_/id/475/switzerland","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/sui.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 1","https://www.espn.com/soccer/match/_/gameId/624108","https://www.espn.com/soccer/team/_/id/164/spain","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/esp.png&w=40&h=40&scale=crop&cquality=40&location=origin","Spain","https://www.espn.com/soccer/team/_/id/164/spain","FT","https://www.espn.com/soccer/match/_/gameId/624108","UEFA Nations League","Mon, Jun 6","Portugal","https://www.espn.com/soccer/team/_/id/482/portugal","https://www.espn.com/soccer/team/_/id/482/portugal","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/por.png&w=40&h=40&scale=crop&cquality=40&location=origin","4 - 0","https://www.espn.com/soccer/match/_/gameId/624135","https://www.espn.com/soccer/team/_/id/475/switzerland","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/sui.png&w=40&h=40&scale=crop&cquality=40&location=origin","Switzerland","FT","https://www.espn.com/soccer/match/_/gameId/624135","UEFA Nations League"
"March, 2022","Wed, Mar 30","Switzerland","https://www.espn.com/soccer/team/_/id/475/switzerland","https://www.espn.com/soccer/team/_/id/475/switzerland","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/sui.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 1","https://www.espn.com/soccer/match/_/gameId/628651","https://www.espn.com/soccer/team/_/id/18272/kosovo","https://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/18272.png&w=40&h=40&scale=crop&cquality=40&location=origin","Kosovo","https://www.espn.com/soccer/team/_/id/18272/kosovo","FT","https://www.espn.com/soccer/match/_/gameId/628651","International Friendly","Sun, Mar 27","England","https://www.espn.com/soccer/team/_/id/448/england","https://www.espn.com/soccer/team/_/id/448/england","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/eng.png&w=40&h=40&scale=crop&cquality=40&location=origin","2 - 1","https://www.espn.com/soccer/match/_/gameId/628652","https://www.espn.com/soccer/team/_/id/475/switzerland","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/sui.png&w=40&h=40&scale=crop&cquality=40&location=origin","Switzerland","https://www.espn.com/soccer/team/_/id/475/switzerland","FT","https://www.espn.com/soccer/match/_/gameId/628652","International Friendly","","","","","","","","","","","","",""
"November, 2021","Tue, Nov 16","Switzerland","https://www.espn.com/soccer/team/_/id/475/switzerland","https://www.espn.com/soccer/team/_/id/475/switzerland","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/sui.png&w=40&h=40&scale=crop&cquality=40&location=origin","4 - 0","https://www.espn.com/soccer/match/_/gameId/590437","https://www.espn.com/soccer/team/_/id/462/bulgaria","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/bul.png&w=40&h=40&scale=crop&cquality=40&location=origin","Bulgaria","https://www.espn.com/soccer/team/_/id/462/bulgaria","FT","https://www.espn.com/soccer/match/_/gameId/590437","FIFA World Cup Qualifying - UEFA","Sat, Nov 13","Italy","https://www.espn.com/soccer/team/_/id/162/italy","https://www.espn.com/soccer/team/_/id/162/italy","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ita.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 1","https://www.espn.com/soccer/match/_/gameId/590440","https://www.espn.com/soccer/team/_/id/475/switzerland","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/sui.png&w=40&h=40&scale=crop&cquality=40&location=origin","Switzerland","https://www.espn.com/soccer/team/_/id/475/switzerland","FT","https://www.espn.com/soccer/match/_/gameId/590440","FIFA World Cup Qualifying - UEFA","","","","","","","","","","","","",""
"October, 2021","Wed, Oct 13","Lithuania","https://www.espn.com/soccer/team/_/id/460/lithuania","https://www.espn.com/soccer/team/_/id/460/lithuania","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ltu.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 4","https://www.espn.com/soccer/match/_/gameId/590442","https://www.espn.com/soccer/team/_/id/475/switzerland","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/sui.png&w=40&h=40&scale=crop&cquality=40&location=origin","Switzerland","https://www.espn.com/soccer/team/_/id/475/switzerland","FT","https://www.espn.com/soccer/match/_/gameId/590442","FIFA World Cup Qualifying - UEFA","Sun, Oct 10","Switzerland","https://www.espn.com/soccer/team/_/id/475/switzerland","https://www.espn.com/soccer/team/_/id/475/switzerland","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/sui.png&w=40&h=40&scale=crop&cquality=40&location=origin","2 - 0","https://www.espn.com/soccer/match/_/gameId/590443","https://www.espn.com/soccer/team/_/id/586/northern-ireland","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/nir.png&w=40&h=40&scale=crop&cquality=40&location=origin","Northern Ireland","https://www.espn.com/soccer/team/_/id/586/northern-ireland","FT","https://www.espn.com/soccer/match/_/gameId/590443","FIFA World Cup Qualifying - UEFA","","","","","","","","","","","","",""
"September, 2021","Thu, Sep 9","Northern Ireland","https://www.espn.com/soccer/team/_/id/586/northern-ireland","https://www.espn.com/soccer/team/_/id/586/northern-ireland","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/nir.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 0","https://www.espn.com/soccer/match/_/gameId/590446","https://www.espn.com/soccer/team/_/id/475/switzerland","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/sui.png&w=40&h=40&scale=crop&cquality=40&location=origin","Switzerland","https://www.espn.com/soccer/team/_/id/475/switzerland","FT","https://www.espn.com/soccer/match/_/gameId/590446","FIFA World Cup Qualifying - UEFA","Mon, Sep 6","Switzerland","https://www.espn.com/soccer/team/_/id/475/switzerland","https://www.espn.com/soccer/team/_/id/475/switzerland","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/sui.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 0","https://www.espn.com/soccer/match/_/gameId/590447","https://www.espn.com/soccer/team/_/id/162/italy","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ita.png&w=40&h=40&scale=crop&cquality=40&location=origin","Italy","https://www.espn.com/soccer/team/_/id/162/italy","FT","https://www.espn.com/soccer/match/_/gameId/590447","FIFA World Cup Qualifying - UEFA","Thu, Sep 2","Switzerland","https://www.espn.com/soccer/team/_/id/475/switzerland","https://www.espn.com/soccer/team/_/id/475/switzerland","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/sui.png&w=40&h=40&scale=crop&cquality=40&location=origin","2 - 1","https://www.espn.com/soccer/match/_/gameId/594176","https://www.espn.com/soccer/team/_/id/455/greece","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/gre.png&w=40&h=40&scale=crop&cquality=40&location=origin","Greece","FT","https://www.espn.com/soccer/match/_/gameId/594176","International Friendly"
"July, 2021","Sat, Jul 3","Switzerland","https://www.espn.com/soccer/team/_/id/475/switzerland","","","","","","","Spain","https://www.espn.com/soccer/team/_/id/164/spain","FT-Pens","https://www.espn.com/soccer/match/_/gameId/560300","UEFA European Championship","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"June, 2021","Tue, Jun 29","France","https://www.espn.com/soccer/team/_/id/478/france","https://www.espn.com/soccer/team/_/id/475/switzerland","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/sui.png&w=40&h=40&scale=crop&cquality=40&location=origin","3 - 1","https://www.espn.com/soccer/match/_/gameId/560319","https://www.espn.com/soccer/team/_/id/465/turkey","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/tur.png&w=40&h=40&scale=crop&cquality=40&location=origin","Switzerland","https://www.espn.com/soccer/team/_/id/475/switzerland","FT-Pens","https://www.espn.com/soccer/match/_/gameId/560303","UEFA European Championship","Mon, Jun 21","Switzerland","https://www.espn.com/soccer/team/_/id/475/switzerland","https://www.espn.com/soccer/team/_/id/162/italy","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ita.png&w=40&h=40&scale=crop&cquality=40&location=origin","3 - 0","https://www.espn.com/soccer/match/_/gameId/560331","https://www.espn.com/soccer/team/_/id/475/switzerland","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/sui.png&w=40&h=40&scale=crop&cquality=40&location=origin","Turkey","https://www.espn.com/soccer/team/_/id/465/turkey","FT","https://www.espn.com/soccer/match/_/gameId/560319","UEFA European Championship","Thu, Jun 17","Italy","https://www.espn.com/soccer/team/_/id/162/italy","https://www.espn.com/soccer/team/_/id/578/wales","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/wal.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 1","https://www.espn.com/soccer/match/_/gameId/560343","https://www.espn.com/soccer/team/_/id/475/switzerland","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/sui.png&w=40&h=40&scale=crop&cquality=40&location=origin","Switzerland","FT","https://www.espn.com/soccer/match/_/gameId/560331","UEFA European Championship"
"May, 2021","Mon, May 31","Switzerland","https://www.espn.com/soccer/team/_/id/475/switzerland","https://www.espn.com/soccer/team/_/id/475/switzerland","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/sui.png&w=40&h=40&scale=crop&cquality=40&location=origin","2 - 1","https://www.espn.com/soccer/match/_/gameId/597048","https://www.espn.com/soccer/team/_/id/660/united-states","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/usa.png&w=40&h=40&scale=crop&cquality=40&location=origin","United States","https://www.espn.com/soccer/team/_/id/660/united-states","FT","https://www.espn.com/soccer/match/_/gameId/597048","International Friendly","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"April, 2021","Thu, Apr 1","Switzerland","https://www.espn.com/soccer/team/_/id/475/switzerland","https://www.espn.com/soccer/team/_/id/475/switzerland","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/sui.png&w=40&h=40&scale=crop&cquality=40&location=origin","3 - 2","https://www.espn.com/soccer/match/_/gameId/593174","https://www.espn.com/soccer/team/_/id/458/finland","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/fin.png&w=40&h=40&scale=crop&cquality=40&location=origin","Finland","https://www.espn.com/soccer/team/_/id/458/finland","FT","https://www.espn.com/soccer/match/_/gameId/593174","International Friendly","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"March, 2021","Mon, Mar 29","Switzerland","https://www.espn.com/soccer/team/_/id/475/switzerland","https://www.espn.com/soccer/team/_/id/475/switzerland","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/sui.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 0","https://www.espn.com/soccer/match/_/gameId/590454","https://www.espn.com/soccer/team/_/id/460/lithuania","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ltu.png&w=40&h=40&scale=crop&cquality=40&location=origin","Lithuania","https://www.espn.com/soccer/team/_/id/460/lithuania","FT","https://www.espn.com/soccer/match/_/gameId/590454","FIFA World Cup Qualifying - UEFA","","","","","","","","","","","","","","","","","","","","","","","","","","",""